Data Zone,Intermediate Geography Name,All people,Work or study mainly at or from home,Underground metro light rail or tram,Train,Bus minibus or coach,Taxi or minicab,Driving a car or van,Passenger in a car or van,Motorcycle scooter or moped,Bicycle,On foot,Other
S01003133,Langside,911,64,9,102,107,6,417,40,2,22,136,6
S01003134,Toryglen and Oatlands,402,49,2,15,130,3,98,22,-,2,81,-
S01003135,Toryglen and Oatlands,436,28,-,8,111,3,150,25,-,3,106,2
S01003136,Mount Florida,751,67,5,186,113,3,208,32,-,20,109,8
S01003137,Shawlands East,537,66,3,40,135,-,178,17,1,8,86,3
S01003138,Pollokshaws,527,70,4,61,95,4,168,23,1,9,89,3
S01003139,Shawlands West,782,77,9,122,161,4,297,29,1,16,59,7
S01003140,Crookston South,530,69,3,10,145,6,115,62,-,2,118,-
S01003141,Langside,614,49,7,47,157,7,241,14,-,29,58,5
S01003142,Toryglen and Oatlands,500,66,5,20,143,1,143,32,1,2,84,3
S01003143,Mount Florida,571,67,3,111,73,3,194,32,2,13,68,5
S01003144,Crookston North,482,66,3,6,102,5,173,36,2,5,82,2
S01003145,Carmyle and Mount Vernon South,296,33,1,27,50,6,110,27,-,1,40,1
S01003146,Shawlands East,524,29,7,59,167,5,158,16,-,25,55,3
S01003147,Crookston North,457,51,5,7,80,7,157,48,1,9,89,3
S01003148,Carmyle and Mount Vernon South,416,29,2,47,95,3,147,38,2,3,50,-
S01003149,Shawlands East,588,67,9,38,164,1,183,31,1,12,75,7
S01003150,Toryglen and Oatlands,355,47,1,11,117,4,62,27,1,-,82,3
S01003151,Shettleston South,497,37,-,37,67,6,227,54,1,3,62,3
S01003152,Battlefield,440,77,2,47,61,4,129,24,1,8,86,1
S01003153,Maxwell Park,486,60,5,83,40,2,170,30,1,15,80,-
S01003154,Shawlands East,709,77,6,52,181,1,222,25,1,15,125,4
S01003155,Pollok South and West,1117,93,5,28,154,2,566,186,1,15,63,4
S01003156,Battlefield,598,60,5,60,148,2,187,28,1,16,86,5
S01003157,Shawlands West,686,77,7,91,181,5,176,28,-,5,116,-
S01003158,Toryglen and Oatlands,321,57,-,12,115,1,49,21,-,4,62,-
S01003159,Toryglen and Oatlands,93,9,-,-,38,1,18,5,-,-,22,-
S01003160,Crookston North,357,55,1,3,68,7,105,40,1,1,72,4
S01003161,Crookston North,399,38,5,7,78,7,139,37,-,3,84,1
S01003162,Carmyle and Mount Vernon South,346,38,-,37,65,2,111,35,-,2,56,-
S01003163,Maxwell Park,486,54,4,109,35,4,170,24,-,13,71,2
S01003164,Battlefield,580,98,9,69,74,2,158,55,2,16,95,2
S01003165,Govanhill East and Aikenhead,537,68,3,80,108,8,136,26,1,7,99,1
S01003166,Shawlands West,499,44,4,69,141,4,158,11,2,14,48,4
S01003167,Pollok South and West,588,72,2,10,128,12,175,51,1,8,129,-
S01003168,Shawlands West,646,57,14,167,105,2,206,18,-,16,59,2
S01003169,Pollok South and West,1784,183,17,72,220,9,871,263,1,5,119,24
S01003170,Maxwell Park,610,95,11,68,47,6,221,59,-,7,92,4
S01003171,Maxwell Park,487,71,11,39,27,1,219,71,-,7,34,7
S01003172,Strathbungo,508,71,5,69,119,1,94,24,1,22,100,2
S01003173,Strathbungo,420,41,7,84,83,2,99,14,1,17,69,3
S01003174,Govanhill West,511,76,3,60,108,6,90,27,-,14,125,2
S01003175,Govanhill East and Aikenhead,424,57,4,42,114,2,77,18,-,13,93,4
S01003176,Strathbungo,615,99,7,106,135,4,163,18,1,22,55,5
S01003177,Strathbungo,634,67,11,67,89,4,207,34,1,27,117,10
S01003178,Mosspark,532,61,5,41,94,4,180,74,1,5,65,2
S01003179,Govanhill West,457,117,2,30,99,5,80,27,1,8,86,2
S01003180,Shettleston South,533,45,-,35,126,7,236,56,-,1,27,-
S01003181,Pollok North and East,514,86,5,9,116,4,126,44,-,5,117,2
S01003182,Pollok North and East,456,62,2,4,112,10,121,40,1,3,96,5
S01003183,Strathbungo,475,68,3,56,126,3,105,13,-,15,81,5
S01003184,Pollok North and East,442,63,2,13,98,7,112,36,2,6,99,4
S01003185,Govanhill East and Aikenhead,318,80,2,11,59,3,70,14,-,2,77,-
S01003186,Maxwell Park,596,84,8,100,26,3,243,50,-,10,67,5
S01003187,Strathbungo,786,101,9,99,133,-,229,38,3,41,125,8
S01003188,Govanhill West,625,77,12,58,137,3,115,36,2,9,174,2
S01003189,Govanhill West,558,88,6,56,140,3,106,29,-,18,112,-
S01003190,Govanhill East and Aikenhead,406,59,3,28,102,1,85,29,1,4,92,2
S01003191,Govanhill West,308,59,-,10,90,1,56,16,1,2,70,3
S01003192,Strathbungo,556,81,8,64,164,2,115,16,2,12,90,2
S01003193,Baillieston East,1327,139,2,79,193,5,613,196,-,6,81,13
S01003194,Braidfauld,377,50,-,8,74,2,106,36,-,2,97,2
S01003195,Carmyle and Mount Vernon South,442,32,1,31,69,4,214,47,-,2,40,2
S01003196,Maxwell Park,647,103,8,72,36,1,280,89,-,7,44,7
S01003197,Mount Vernon North and Sandyhills,529,48,1,51,55,6,259,43,-,2,62,2
S01003198,Govanhill East and Aikenhead,529,124,-,10,107,5,121,33,1,5,122,1
S01003199,Shettleston South,666,54,-,40,157,10,297,59,1,1,44,3
S01003200,Govanhill West,414,67,1,9,134,3,93,13,2,4,79,9
S01003201,Dalmarnock,135,18,2,4,46,1,32,7,1,2,22,-
S01003202,Toryglen and Oatlands,516,88,3,13,105,9,125,35,1,8,122,7
S01003203,Mosspark,482,49,3,51,55,7,176,45,3,8,85,-
S01003204,Pollok North and East,609,75,3,33,121,9,161,62,-,6,134,5
S01003205,Dalmarnock,392,38,4,26,86,5,100,22,-,6,102,3
S01003206,Govanhill West,436,46,3,18,139,7,102,20,1,3,93,4
S01003207,Pollokshields East,552,110,11,80,73,3,121,43,2,15,90,4
S01003208,Braidfauld,683,99,6,21,177,9,186,59,-,6,119,1
S01003209,Mosspark,363,27,8,17,66,1,150,25,1,7,59,2
S01003210,Maxwell Park,593,99,22,80,28,4,197,47,1,10,99,6
S01003211,Pollokshields East,561,123,12,65,45,4,124,63,-,14,109,2
