category,latitude,longitude,datazone,name
Potholes,55.84695,-4.1612,S01010073,Shettleston South - 05
Potholes,55.8495,-4.12591,S01010085,Baillieston West - 03
Potholes,55.85998,-4.27424,S01010276,Anderston - 01
Pavements/footpaths,55.83681,-4.15427,S01010074,Carmyle and Mount Vernon South - 01
Potholes,55.85625,-4.36391,S01009833,Drumoyne and Shieldhall - 01
Potholes,55.90855,-4.37109,S01010489,Drumchapel South - 02
Potholes,55.85409,-4.26311,S01010032,Laurieston and Tradeston - 02
Pavements/footpaths,55.90159,-4.3731,S01010486,Blairdardie West - 02
Potholes,55.80588,-4.34151,S01009767,Darnley North - 04
Potholes,55.87655,-4.29881,S01010374,Kelvingrove and University - 01
Potholes,55.89923,-4.2998,S01010346,Summerston North - 01
Potholes,55.87722,-4.22405,S01010225,Sighthill - 01
Potholes,55.82928,-4.26566,S01009904,Battlefield - 06
Potholes,55.88029,-4.3105,S01010403,Dowanhill - 01
Potholes,55.87565,-4.32284,S01010394,Partick - 02
Potholes,55.85651,-4.14227,S01010130,Barlanark - 08
Potholes,55.8497,-4.21955,S01010053,Parkhead West and Barrowfield - 05
Potholes,55.84707,-4.27476,S01009871,Kingston West and Dumbreck - 01
Potholes,55.88232,-4.21283,S01010204,Petershill - 02
Potholes,55.82404,-4.26239,S01010006,Cathcart - 02
Potholes,55.8529,-4.28146,S01009867,Kinning Park and Festival Park - 02
Potholes,55.82322,-4.26218,S01010006,Cathcart - 02
Potholes,55.88907,-4.321,S01010468,Anniesland East - 04
Potholes,55.82999,-4.26355,S01009904,Battlefield - 06
Potholes,55.90044,-4.36954,S01010486,Blairdardie West - 02
Potholes,55.82895,-4.2671,S01009904,Battlefield - 06
Potholes,55.90044,-4.36954,S01010486,Blairdardie West - 02
Potholes,55.91315,-4.37818,S01010501,Drumry West - 02
Potholes,55.86744,-4.12926,S01010114,"Garthamlock, Auchinlea and Gartloch - 02"
Potholes,55.81739,-4.36498,S01009784,Crookston South - 01
Potholes,55.8613,-4.18082,S01010155,Carntyne - 04
Potholes,55.82598,-4.28297,S01009932,Langside - 06
Pavements/footpaths,55.87393,-4.33665,S01010424,Whiteinch - 02
Potholes,55.85409,-4.26319,S01010032,Laurieston and Tradeston - 02
Potholes,55.85392,-4.26002,S01010032,Laurieston and Tradeston - 02
Potholes,55.85409,-4.26319,S01010032,Laurieston and Tradeston - 02
Potholes,55.85409,-4.26319,S01010032,Laurieston and Tradeston - 02
Potholes,55.83954,-4.2737,S01009884,Pollokshields East - 04
Potholes,55.87722,-4.22415,S01010225,Sighthill - 01
Potholes,55.83994,-4.27377,S01009885,Pollokshields East - 05
Potholes,55.84713,-4.19942,S01010068,Braidfauld - 08
Potholes,55.82213,-4.36192,S01009797,Pollok South and West - 06
Potholes,55.84356,-4.2439,S01010029,Gorbals and Hutchesontown - 07
Potholes,55.86312,-4.28031,S01010283,Finnieston and Kelvinhaugh - 02
Potholes,55.86874,-4.2381,S01010262,City Centre East - 04
Potholes,55.82333,-4.3809,S01009793,Pollok South and West - 02
Potholes,55.84902,-4.26031,S01010034,Laurieston and Tradeston - 04
Potholes,55.87332,-4.32587,S01010415,Broomhill - 01
Potholes,55.81173,-4.3386,S01009782,Nitshill - 08
Potholes,55.8313,-4.33982,S01009799,Pollok North and East - 01
Potholes,55.88506,-4.25336,S01010323,Possil Park - 01
Potholes,55.84462,-4.33186,S01009806,Cardonald South and East - 01
Potholes,55.92369,-4.28073,S01010345,Summerston Central and West - 06
Potholes,55.87935,-4.21079,S01010207,Petershill - 05
Potholes,55.80719,-4.23622,S01009980,Glenwood North - 01
Potholes,55.82033,-4.25041,S01010004,Kingspark North - 06
Pavements/footpaths,55.82397,-4.34301,S01009789,Crookston North - 02
Pavements/footpaths,55.87719,-4.24135,S01010222,Cowlairs and Port Dundas - 04
Potholes,55.80634,-4.34346,S01009767,Darnley North - 04
Potholes,55.84464,-4.11183,S01010088,Baillieston East - 01
Potholes,55.88423,-4.2154,S01010201,Barmulloch - 03
Potholes,55.85755,-4.13287,S01010130,Barlanark - 08
Potholes,55.87503,-4.21509,S01010225,Sighthill - 01
Potholes,55.83355,-4.25523,S01009897,Govanhill East and Aikenhead - 04
Potholes,55.84655,-4.27489,S01009875,Pollokshields West - 01
